index,title,keywords
1185,Аналитик данных,"['stats', 'данных', 'scipy', 'процесс', 'желание']"
1558,Data Engineer (senior) в Управление мастер данных,"['аспект', 'бизнес', 'образование', 'умение', 'язык']"
1516,Python-разработчик (Middle+),"['devops', 'инфраструктура', 'cd', 'ci', 'подход']"
1316,Разработчик PHP Moodle,"['agile', 'стартапах', 'scrum', 'команда', 'go']"
1831,ML Engineer/Computer Vision Engineer,"['ряд', 'сенсор', 'данными', 'преимущество', 'знание']"
506,Middle Python-разработчик (IoT/Embedded),"['нуль', 'код', 'способность', 'фреймворк', 'приложение']"
988,Senior Kotlin/Java Developer,"['интерес', 'кибербезопасности', 'передача', 'экосистема', 'безопасность']"
354,Инженер систем мониторинга,"['инженер', 'шаблон', 'администратор', 'мониторинг', 'создание']"
15,Аналитик данных,"['pyspark', 'решение', 'подход', 'задача', 'обработка']"
1636,Специалист / BIM мастер,"['строительство', 'abbyy', 'finereader', 'microsoft', 'outlook']"
1688,Разработчик python,"['lp', 'пакет', 'тип', 'nlp', 'оптимизация']"
568,QA Engineer,"['pl', 'highlighttext', 'автоматизация', 'java', 'тестирование']"
172,Системный администратор Linux (проект Стройка),"['запуск', 'контейнеризация', 'сопровождение', 'настройка', 'go']"
724,Младший аналитик (стажер),"['специальность', 'университет', 'физик', 'информатика', 'математика']"
1350,Middle Data Scientist (Классический ML),"['модель', 'внедрение', 'статистика', 'алгоритм', 'обучение']"
1047,Системный инженер,"['dns', 'ssh', 'сервис', 'http', 'применение']"
1640,DevOps Engineer,"['puppet', 'ansible', 'протокол', 'инструмент', 'автоматизация']"
1180,Стажер Тестировщик QA (ручное и автотестирование Python),"['пунктуальность', 'selenium', 'теория', 'ответственность', 'тестирование']"
1672,Backend Python-программист,"['db', 'fast', 'mongo', 'pydantic', 'asyncio']"
177,Middle Python developer,"['архитектура', 'приложение', 'навык', 'год', 'разработка']"
1707,Junior Data Analyst,"['powerbi', 'витрина', 'datalens', 'построение', 'плюс']"
866,Аналитик данных (Customer Experience),"['информатика', 'математика', 'статистика', 'метод', 'обучение']"
1519,Media Data Analyst (media research),"['владение', 'point', 'визуализация', 'желание', 'excel']"
1575,Data Engineer,"['cdc', 'debezium', 'kafkaconnect', 'объём', 'работа']"
1784,Junior Data Scientist,"['закономерность', 'поиск', 'применение', 'метод', 'библиотека']"
1162,Биоинформатик в генетическую лабораторию,"['learn', 'scikit', 'библиотеками', 'numpy', 'pandas']"
269,Аналитик визуализации данных,"['бизнес', 'анализа', 'эконометрика', 'презентация', 'процессов']"
326,Начальник отдела информационной безопасности (в единственном числе),"['perl', 'адресация', 'сервис', 'сеть', 'автоматизация']"
51,Data Analyst (Аналитика Данных),"['возможность', 'highlighttext', 'визуализация', 'код', 'анализ']"
1819,Junior Product Analyst,"['анализ', 'аппарат', 'данных', 'статистика', 'основа']"
143,Специалист по вибродиагностике,"['matlab', 'вибродиагностика', 'открытость', 'порядочность', 'сигнал']"
575,Младший инженер-программист (стажер),"['bash', 'highlighttext', 'желание', 'скрипт', 'уровень']"
940,Стажер по направлению «Управление проектами» в Сбер,"['hard', 'science', 'skills', 'powerpoint', 'возможность']"
1038,Младший BI-аналитик,"['заказчик', 'требования', 'результат', 'библиотека', 'бизнес']"
1620,Стажер iOS-Разработчик,"['clean', 'swift', 'желание', 'архитектура', 'приложение']"
279,Инженер-тестировщик,"['цикл', 'этап', 'метод', 'тестирование', 'знание']"
1518,Тестировщик ПО/QA,"['браузер', 'консоль', 'разработчик', 'веб', 'приложение']"
725,Руководитель группы аналитики,"['анализ', 'tableau', 'bi', 'обучение', 'бизнес']"
835,Data Analyst,"['экономика', 'юнит', 'seaborn', 'тест', 'проведение']"
255,Senior Python Back-End Developer,"['год', 'highlighttext', 'умение', 'разработка', 'python']"
1164,Специалист по машинному обучению (ML-инженер),"['обучение', 'библиотеками', 'алгоритм', 'база', 'знание']"
1100,Middle Back-end developer (Новосибирск),"['nuitka', 'траспайлером', 'работа', 'фреймворк', 'fastapi']"
979,Java Developer (middle),"['boot', 'spring', 'представление', 'код', 'фреймворк']"
1463,Администратор интернет-магазина,"['бус', 'частность', 'css', 'html', 'php']"
450,Аналитик данных,"['умение', 'продажа', 'объём', 'аналитик', 'программа']"
889,Заместитель руководителя отдела аналитики / аналитик,"['намерение', 'tableau', 'bi', 'инструмент', 'excel']"
1135,Системный инженер в отдел практической информационной безопасности,"['windows', 'server', 'hyper', 'виртуализации', 'оса']"
923,"Стажер, Data Analyst / Data Scientist","['деревья', 'рекурсия', 'часть', 'данных', 'структура']"
874,Junior SQL developer / Разработчик баз данных,"['обращение', 'файл', 'строка', 'бд', 'опыт']"
297,Программист в VK Predict,"['код', 'бэкенд', 'толерантность', 'дизайн', 'highlighttext']"
557,Junior DevOps Engineer,"['hashicorp', 'nomad', 'оркестратор', 'микросервисов', 'docker']"
302,Старший аналитик данных в Dwelly (Великобритания),"['diligence', 'due', 'агентство', 'момент', 'поглощение']"
1412,Специалист по искусственному интеллекту (Data Science),"['информация', 'объём', 'библиотека', 'обработка', 'анализ']"
152,Golang Developer (Москва),"['необходимость', 'шаблоны', 'ооп', 'проектирование', 'структура']"
830,Аналитик данных (команда Корпоративного развития),"['внимание', 'деталь', 'база', 'принцип', 'работа']"
1590,Аналитик данных,"['matplotlib', 'seaborn', 'scipy', 'mysql', 'библиотека']"
1744,BI-разработчик в команду Авито Работы,"['вещь', 'слово', 'данные', 'коллега', 'исследование']"
1067,Фронтенд-разработчик в международный стартап по созданию бизнес-приложений на основе ChatGPT,"['работа', 'стек', 'опыт', 'технология', 'принцип']"
675,Аналитик данных,"['pyodbc', 'sqlite', 'данные', 'таблица', 'процесс']"
829,Инженер программных решений / DevOps,"['ci', 'elk', 'nexus', 'plg', 'teamcity']"
691,Нейрограф/специалист по нейросетям,"['controlnet', 'executioncache', 'workflowexecutor', 'изображение', 'json']"
419,Программист на Phyton,"['программирование', 'готовность', 'сервер', 'область', 'основа']"
837,QA engineer / Тестировщик,"['микросервисов', 'функция', 'автотестов', 'интеграция', 'mongodb']"
559,Бизнес-аналитик,"['bpmn', 'kanban', 'нотация', 'описание', 'scrum']"
1663,QA-инженер,"['selenide', 'selenium', 'автотестов', 'интерфейс', 'проведение']"
1160,Старший инженер-программист C++,"['confluence', 'различными', 'сборка', 'система', 'работа']"
1614,Python developer (Чекаут доставки),"['pydantic', 'построение', 'api', 'rest', 'принцип']"
917,Python developer,"['кандидат', 'flask', 'фреймворк', 'fastapi', 'знание']"
71,Системный администратор Linux (DevOps),"['протокол', 'сервер', 'администрирование', 'управление', 'система']"
1259,Python разработчик,"['flask', 'mysql', 'база', 'postgresql', 'принцип']"
186,Младший разработчик (стажер) Siebel CRM,"['js', 'ооп', 'знакомство', 'субд', 'java']"
145,Инженер-конструктор (инженер-программист),"['ethernet', 'qt', 'rs', 'spi', 'uart']"
1059,Data/ELT - инженер_middle/senior,"['hadoop', 'spark', 'vault', 'airflow', 'data']"
891,Game (продуктовый) Analyst,"['практика', 'гипотеза', 'процесс', 'способность', 'уровень']"
1790,Начинающий специалист Data Analyst & Prompt Engineer,"['работа', 'данными', 'sql', 'анализ', 'опыт']"
744,Python Engineer,"['and', 'candidate', 'containerization', 'experienced', 'has']"
1093,Back End Developer,"['django', 'deployment', 'development', 'integrating', 'years']"
933,Программист (тестирование сетевого оборудования),"['версия', 'контроль', 'архитектура', 'скрипт', 'написание']"
621,Стажер-программист в ведущую IT-компанию,"['способность', 'технология', 'java', 'программирование', 'язык']"
546,Data Analyst (аналитик данных),"['решение', 'принятие', 'аналитик', 'подход', 'задача']"
929,Дежурный ИТ мониторинга,"['аккуратность', 'внимательность', 'сбор', 'мониторинг', 'powershell']"
1375,Data Engineer,"['оптимизация', 'интеграция', 'clickhouse', 'запрос', 'скрипт']"
334,Python Backend-разработчик Junior,"['aiohttp', 'разработка', 'flask', 'фреймворк', 'fastapi']"
397,"QA mobile, Мобильное приложение для продавцов","['appium', 'json', 'postman', 'ui', 'тест']"
305,Системный администратор,"['bd', 'encrypt', 'kvm', 'lamp', 'lets']"
1512,Разработчик цифрового двойника склада Java / Anylogic (Автоматизация складов с применением ИИ),"['anylogic', 'верификация', 'эксперимент', 'сбор', 'разработка']"
517,DevOps Engineer,"['инфраструктура', 'чтение', 'документация', 'нуль', 'администрирование']"
328,Программист-разработчик C++,"['шейдерами', 'движок', 'опыт', 'проект', 'приложение']"
423,Game Analyst (Midcore Games),"['метрика', 'рынок', 'игра', 'объём', 'проект']"
1096,ML Engineer LLM,"['взаимодействие', 'подразделениями', 'аналитик', 'команда', 'разработчик']"
1267,QA инженер (DBaaS),"['сложность', 'автотестов', 'go', 'запрос', 'автоматизация']"
689,Программист,"['инициативность', 'желание', 'образование', 'highlighttext', 'работа']"
663,Системный аналитик,"['база', 'плюс', 'принцип', 'образование', 'sql']"
857,BI разработчик,"['dash', 'metabase', 'plotly', 'redash', 'datalens']"
1723,Аналитик проекта,"['пользование', 'расчёт', 'методология', 'программа', 'excel']"
1391,DevOps / Site Reliability Engineer (SRE),"['elastic', 'groovy', 'mongo', 'брокер', 'помощь']"
699,Разработчик Mini-Apps для Telegram с опытом работы со смарт-контрактами TON,"['блокчейн', 'проектов', 'язык', 'typescript', 'javascript']"
1494,Middle / Senior C# .Net developer,"['net', 'работа', 'опыт', 'год', 'знание']"
1497,Backend-разработчик (Python/FastAPI),"['docker', 'фреймворками', 'flask', 'веб', 'архитектура']"
346,Backend python developer,"['требование', 'данными', 'стек', 'умение', 'навык']"
619,Python-разработчик,"['наличие', 'проект', 'умение', 'год', 'highlighttext']"
1832,Junior Data analyst,"['функционал', 'владение', 'формат', 'данных', 'объём']"
467,Backend-разработчик,"['laravel', 'psr', 'symfony', 'стандарт', 'cd']"
860,Младший аналитик (управленческая отчетность),"['алгоритмизация', 'обучаемость', 'системность', 'склонность', 'скорость']"
493,Supply Chain Manager / Менеджер по логистике,"['advantage', 'basic', 'be', 'competitive', 'confident']"
337,Junior QA engineer,"['qase', 'компьютер', 'интерфейс', 'автоматизация', 'тестирование']"
1246,Middle Backend-разработчик (Python),"['фреймворк', 'приложение', 'django', 'опыт', 'владение']"
1012,Тестировщик ПО,"['строка', 'фреймворками', 'опыт', 'автоматизация', 'тестирование']"
902,Python разработчик,"['паттерн', 'теория', 'код', 'применение', 'алгоритм']"
1349,Тестировщик (AI),"['специфика', 'продукт', 'знание', 'преимущество', 'плюс']"
1756,Python-разработчик,"['middle', 'apache', 'kafka', 'postgres', 'область']"
64,DevOps-инженер (IT),"['azure', 'gcp', 'aws', 'плюс', 'bash']"
1050,Директор центра анализа данных и ИТ-аудита,"['аналитики', 'nosql', 'superset', 'качество', 'apache']"
1789,Product analyst/Продуктовый аналитик (Gamedev),"['визуализация', 'данных', 'проведение', 'опыт', 'построение']"
1448,Junior Data analyst,"['analyst', 'маркетплейс', 'junior', 'поиск', 'data']"
553,Аналитик данных (BI),"['аналитик', 'bi', 'инструмент', 'power', 'образование']"
573,Python developer (Middle+/Senior),"['mypy', 'poetry', 'pylint', 'toolset', 'rabbitmq']"
443,Data Engineer,"['scala', 'работа', 'airflow', 'apache', 'clickhouse']"
1129,Python-разработчик,"['voip', 'миграция', 'год', 'проект', 'система']"
1275,Программист Python (внутренние проекты) / Python Developer (internal projects),"['rabbitmq', 'очередь', 'сообщение', 'postgres', 'веб']"
910,Junior Python-developer,"['oop', 'patterns', 'design', 'git', 'sql']"
520,Начинающий специалист,"['любовь', 'преподавание', 'ребёнок', 'техника', 'наличие']"
1245,Golang-разработчик,"['оркестрации', 'kubernetes', 'область', 'год', 'программирование']"
1546,Data Engineer,"['dag', 'инженер', 'airflow', 'написание', 'уровень']"
718,DevOps Engineer,"['intermediate', 'позиция', 'kubernetes', 'плюс', 'уровень']"
1170,Инженер по ручному тестированию в команду Разработки программных продуктов,"['lens', 'nodejs', 'postman', 'git', 'typescript']"
1155,Middle QA/тестировщик (BIOM),"['пользователь', 'автоматизация', 'тестирование', 'образование', 'уровень']"
1764,Ведущий специалист по технической поддержке (Москва),"['сложность', 'javascript', 'основа', 'написание', 'уровень']"
614,Руководитель группы разработки / Head of Development (Web & Mobile),"['high', 'qa', 'разработке', 'devops', 'продукт']"
1610,Python-разработчик,"['данными', 'управление', 'запрос', 'обработка', 'написание']"
1709,Python Developer,"['api', 'rest', 'приложение', 'образование', 'год']"
1293,Backend Developer (Python),"['django', 'workflow', 'организация', 'график', 'framework']"
391,Frontend-разработчик TypeScript React (middle/senior),"['react', 'фулстек', 'роль', 'typescript', 'разработчик']"
105,Аналитик Python,"['справка', 'презентация', 'результат', 'clickhouse', 'numpy']"
497,Front-end разработчик (React),"['разработчик', 'использование', 'опыт', 'год', 'работа']"
903,Системный администратор,"['устройство', 'компьютер', 'работа', 'abbyy', 'ability']"
1262,Руководитель разработки / Head of Development,"['область', 'наука', 'обеспечение', 'образование', 'год']"
1344,Маркетолог,"['модель', 'преимущество', 'знание', 'анализ', 'умение']"
799,Инженер по тестированию производительности,"['http', 'строка', 'api', 'rest', 'использование']"
521,Intern/Game Producer,"['игра', 'сфера', 'готовность', 'обеспечение', 'желание']"
1484,Web-разработчик,"['организованность', 'внимательность', 'деталь', 'ответственность', 'структура']"
582,Менеджер продукта,"['умение', 'цель', 'возможность', 'исследование', 'интеграция']"
1827,Python Backend Developer (Django),"['итд', 'docker', 'git', 'решение', 'подход']"
1360,Специалист по защите информации,"['навык', 'скрипт', 'разбор', 'linux', 'windows']"
9,Координатор образовательного проекта,"['компания', 'контрагент', 'оценка', 'переговоры', 'персонал']"
1404,Инженер технической поддержки ЦОД,"['позиция', 'linux', 'windows', 'powershell', 'применение']"
893,Middle Backend Developer (Python),"['di', 'openapi', 'orm', 'websockets', 'коллекция']"
1473,Middle Python Developer (с DevOps-навыками),"['drf', 'flask', 'mysql', 'mongodb', 'fastapi']"
1342,Python-разработчик (техническая поддержка пользователей),"['инструкция', 'составление', 'пользователь', 'администрирование', 'запрос']"
